,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,21,23-01-1997,South Africa,Mangaung Oval,b P L Symcox,8,22,36.36,8,8.0,68.51,22,1
1,22,27-01-1997,Zimbabwe,Boland Park,run out,23,43,53.49,31,15.5,47.69,65,2
2,23,02-02-1997,South Africa,St George's Park,c W J Cronje b A A Donald,50,104,48.08,81,27.0,47.93,169,3
3,24,04-02-1997,South Africa,Buffalo Park,run out,53,71,74.65,134,33.5,55.83,240,4
4,25,07-02-1997,Zimbabwe,SuperSport Park,c †A Flower b J A Rennie,12,30,40,146,29.2,54.07,270,5
5,26,09-02-1997,Zimbabwe,Willowmoore Park,b G J Whittall,17,27,62.96,163,27.17,54.88,297,6
6,27,12-02-1997,South Africa,Kingsmead,c G Kirsten b W J Cronje,33,70,47.14,196,28.0,53.41,367,7
7,28,13-02-1997,South Africa,Kingsmead,c G Kirsten b L Klusener,84,94,89.36,280,35.0,60.74,461,8
8,29,26-04-1997,West Indies,Queen's Park Oval,c C L Hooper b F A Rose,17,44,38.64,297,33.0,58.81,505,9
9,30,27-04-1997,West Indies,Queen's Park Oval,did not bat,-,-,-,297,33.0,58.81,505,9
10,31,30-04-1997,West Indies,Arnos Vale Ground,b O D Gibson,74,105,70.48,371,37.1,60.82,610,10
11,32,03-05-1997,West Indies,Kensington Oval,c S Chanderpaul b F A Rose,30,61,49.18,401,36.45,59.76,671,11
12,33,14-05-1997,New Zealand,M Chinnaswamy Stadium,not out,21*,31,67.74,422,38.36,60.11,702,11
13,34,17-05-1997,Sri Lanka,Wankhede Stadium,b M Muralitharan,61,103,59.22,483,40.25,60.0,805,12
14,35,21-05-1997,Pakistan,MA Chidambaram Stadium,c Shahid Afridi b Aaqib Javed,107,116,92.24,590,45.38,64.06,921,13
15,36,18-07-1997,Sri Lanka,R Premadasa Stadium,b S T Jayasuriya,69,102,67.65,659,47.07,64.42,1023,14
16,37,20-07-1997,Pakistan,Sinhalese Sports Club Ground,did not bat,-,-,-,659,47.07,64.42,1023,14
17,38,24-07-1997,Bangladesh,Sinhalese Sports Club Ground,did not bat,-,-,-,659,47.07,64.42,1023,14
18,39,26-07-1997,Sri Lanka,R Premadasa Stadium,c R S Mahanama b W P U J C Vaas,7,12,58.33,666,44.4,64.35,1035,15
19,40,17-08-1997,Sri Lanka,R Premadasa Stadium,run out,1,1,100,667,41.69,64.38,1036,16
20,41,20-08-1997,Sri Lanka,R Premadasa Stadium,c †S K L de Silva b S T Jayasuriya,18,35,51.43,685,40.29,63.96,1071,17
21,42,23-08-1997,Sri Lanka,Sinhalese Sports Club Ground,c R S Kalpage b P A de Silva,78,79,98.73,763,42.39,66.35,1150,18
22,43,24-08-1997,Sri Lanka,Sinhalese Sports Club Ground,c U D U Chandana b S T Jayasuriya,42,68,61.76,805,42.37,66.09,1218,19
23,44,13-09-1997,Pakistan,"Cricket, Skating & Curling Club",c Ijaz Ahmed b Shahid Afridi,23,41,56.1,828,41.4,65.77,1259,20
24,45,14-09-1997,Pakistan,"Cricket, Skating & Curling Club",run out,14,25,56,842,40.1,65.58,1284,21
25,46,17-09-1997,Pakistan,"Cricket, Skating & Curling Club",did not bat,-,-,-,842,40.1,65.58,1284,21
26,47,18-09-1997,Pakistan,"Cricket, Skating & Curling Club",c Saeed Anwar b Saleem Malik,25,79,31.65,867,39.41,63.61,1363,22
27,48,20-09-1997,Pakistan,"Cricket, Skating & Curling Club",did not bat,-,-,-,867,39.41,63.61,1363,22
28,49,21-09-1997,Pakistan,"Cricket, Skating & Curling Club",not out,3*,4,75,870,39.55,63.64,1367,22
29,50,28-09-1997,Pakistan,Niaz Stadium,b Aaqib Javed,50,81,61.73,920,40.0,63.54,1448,23
30,51,16-12-1997,West Indies,Sharjah Cricket Stadium,b C L Hooper,31,45,68.89,951,39.62,63.7,1493,24
